key,source,competition_instance,family,runs,ok_runs,best,average,lb,ub,best_minus_lb,best_minus_ub,status
0_BehnkeGeiger_42_workers,Behnke42,0_BehnkeGeiger_42_workers,BehnkeGeiger,1,1,89,89,0,80,89,9,OK
0_BehnkeGeiger_46_workers,Behnke46,0_BehnkeGeiger_46_workers,BehnkeGeiger,1,1,114,114,67,108,47,6,OK
0_BehnkeGeiger_60_workers,Behnke60,0_BehnkeGeiger_60_workers,BehnkeGeiger,1,1,381,381,74,431,307,-50,OK
1_Brandimarte_12_workers,BrandimarteMk12,1_Brandimarte_12_workers,Brandimarte,1,1,527,527,146,471,381,56,OK
1_Brandimarte_14_workers,BrandimarteMk14,1_Brandimarte_14_workers,Brandimarte,1,1,641,641,210,640,431,1,OK
1_Brandimarte_7_workers,BrandimarteMk7,1_Brandimarte_7_workers,Brandimarte,1,1,174,174,46,137,128,37,OK
2a_Hurink_sdata_18_workers,Hurinksdata18,2a_Hurink_sdata_18_workers,Hurink_sdata,1,1,1458,1458,363.722,1138,1094.278,320,OK
2a_Hurink_sdata_1_workers,Hurinksdata1,2a_Hurink_sdata_1_workers,Hurink_sdata,1,1,61,61,46,52.000,15,9.000,OK
2a_Hurink_sdata_38_workers,Hurinksdata38,2a_Hurink_sdata_38_workers,Hurink_sdata,1,1,2062,2062,598.202,1738,1463.798,324,OK
2a_Hurink_sdata_40_workers,Hurinksdata40,2a_Hurink_sdata_40_workers,Hurink_sdata,1,1,1435,1435,914,1329,521,106,OK
2a_Hurink_sdata_54_workers,Hurinksdata54,2a_Hurink_sdata_54_workers,Hurink_sdata,1,1,9121,9121,5241.725,7830,3879.275,1291,OK
2a_Hurink_sdata_61_workers,Hurinksdata61,2a_Hurink_sdata_61_workers,Hurink_sdata,1,1,983,983,547,832,436,151,OK
2a_Hurink_sdata_63_workers,Hurinksdata63,2a_Hurink_sdata_63_workers,Hurink_sdata,1,1,452,452,283,386,169,66,OK
2b_Hurink_edata_1_workers,Hurinkedata1,2b_Hurink_edata_1_workers,Hurink_edata,1,1,51,51,46,51.000,5,0.000,OK
2b_Hurink_edata_6_workers,Hurinkedata6,2b_Hurink_edata_6_workers,Hurink_edata,1,1,712,712,341,541,371,171,OK
2c_Hurink_rdata_28_workers,Hurinkrdata28,2c_Hurink_rdata_28_workers,Hurink_rdata,1,1,1111,1111,662,775,449,336,OK
2c_Hurink_rdata_38_workers,Hurinkrdata38,2c_Hurink_rdata_38_workers,Hurink_rdata,1,1,1828,1828,593,1471,1235,357,OK
2c_Hurink_rdata_50_workers,Hurinkrdata50,2c_Hurink_rdata_50_workers,Hurink_rdata,1,1,6487,6487,2828,5701,3659,786,OK
2d_Hurink_vdata_18_workers,Hurinkvdata18,2d_Hurink_vdata_18_workers,Hurink_vdata,1,1,1249,1249,357,1039,892,210,OK
2d_Hurink_vdata_30_workers,Hurinkvdata30,2d_Hurink_vdata_30_workers,Hurink_vdata,1,1,1150,1150,622,1018,528,132,OK
2d_Hurink_vdata_5_workers,Hurinkvdata5,2d_Hurink_vdata_5_workers,Hurink_vdata,1,1,580,580,372,504,208,76,OK
3_DPpaulli_15_workers,DPpaulli15,3_DPpaulli_15_workers,DPpaulli,1,1,2513,2513,1221,2071,1292,442,OK
3_DPpaulli_18_workers,DPpaulli18,3_DPpaulli_18_workers,DPpaulli,1,1,2526,2526,0,2069,2526,457,OK
3_DPpaulli_1_workers,DPpaulli1,3_DPpaulli_1_workers,DPpaulli,1,1,3110,3110,1336,2486,1774,624,OK
3_DPpaulli_9_workers,DPpaulli9,3_DPpaulli_9_workers,DPpaulli,1,1,2375,2375,1274,1968,1101,407,OK
4_ChambersBarnes_10_workers,ChambersBarnes10,4_ChambersBarnes_10_workers,ChambersBarnes,1,1,1006,1006,649,893,357,113,OK
5_Kacem_3_workers,Kacem3,5_Kacem_3_workers,Kacem,1,1,7,7,7,7,0,0,OK
5_Kacem_4_workers,Kacem4,5_Kacem_4_workers,Kacem,1,1,13,13,10,11,3,2,OK
6_Fattahi_14_workers,Fattahi14,6_Fattahi_14_workers,Fattahi,1,1,558,558,477,538.000,81,20.000,OK
6_Fattahi_20_workers,Fattahi20,6_Fattahi_20_workers,Fattahi,1,1,1257,1257,880,1147,377,110,OK
